provinsi,jenis,daerah,tahun,periode,gk,Cluster
0,0,2,2015,0,-0.06574591899113585,0
0,0,2,2015,1,-0.011440660980292758,0
0,0,2,2016,0,0.015064633375610375,0
0,0,2,2016,1,0.1021810625769688,0
0,0,0,2015,0,-0.04138552451871163,0
0,0,0,2015,1,0.018246556926476996,0
0,0,0,2016,0,0.0759591784158797,0
0,0,0,2016,1,0.1349407046411543,0
0,0,1,2015,0,-0.04829686858769926,0
0,0,1,2015,1,0.009815103630759572,0
0,0,1,2016,0,0.057305634684483464,0
0,0,1,2016,1,0.12652857476781054,0
0,0,2,2017,0,0.16907230969387135,0
0,0,2,2017,1,0.282809973785375,0
0,0,2,2018,0,0.3083555381633852,0
0,0,2,2018,1,0.36336932166126334,0
0,0,0,2017,0,0.17624774053529932,0
0,0,0,2017,1,0.2715959476678471,0
0,0,0,2018,0,0.32212669717503056,0
0,0,0,2018,1,0.3771855686584473,0
0,0,1,2017,0,0.17425742803080987,0
0,0,1,2017,1,0.274700577529219,0
0,0,1,2018,0,0.3181074253213043,0
0,0,1,2018,1,0.3731405322415562,0
0,0,2,2019,0,0.38734324768621387,0
0,0,2,2019,1,0.4748139396310898,0
0,0,2,2020,0,0.606251858616888,0
0,0,2,2020,1,0.615771864706323,0
0,0,0,2019,0,0.4426468825196973,0
0,0,0,2019,1,0.5375957389231889,0
0,0,0,2020,0,0.5971634089604653,0
0,0,0,2020,1,0.6048992190507301,0
0,0,1,2019,0,0.4263314728955168,0
0,0,1,2019,1,0.5183624925205822,0
0,0,1,2020,0,0.5998493646704074,0
0,0,1,2020,1,0.608119789446344,0
0,0,2,2021,0,0.7352099383980634,0
0,0,2,2021,1,0.7872479148503941,1
0,0,2,2022,0,0.9315423508554833,1
0,0,2,2022,1,1.1424768294866172,1
0,0,0,2021,0,0.663520041391696,0
0,0,0,2021,1,0.7138962035198899,0
0,0,0,2022,0,0.838635336082811,1
0,0,0,2022,1,1.0192062770240962,1
0,0,1,2021,0,0.6860833575833676,0
0,0,1,2021,1,0.7368137824550791,0
0,0,1,2022,0,0.8679682912460632,1
0,0,1,2022,1,1.0586067352440376,1
0,1,2,2015,0,-1.2056990162226635,2
0,1,2,2015,1,-1.1961725689924374,2
0,1,2,2016,0,-1.1734289008586114,2
0,1,2,2016,1,-1.1477158668200294,2
0,1,0,2015,0,-1.412324371664466,2
0,1,0,2015,1,-1.3927175390959678,2
0,1,0,2016,0,-1.3888142077764838,2
0,1,0,2016,1,-1.3715261858928278,2
0,1,1,2015,0,-1.353671343619544,2
0,1,1,2015,1,-1.3369243775623512,2
0,1,1,2016,0,-1.3252594715894372,2
0,1,1,2016,1,-1.3055366984866972,2
0,1,2,2017,0,-1.1339382666675926,2
